date,retweets,favorites,vader,finBERT,finBERT_min,finBERT_max,buzz,buzz_n,sent_wn,sent12,sent26,sent50,sent200,adjclose,volume,EMA12,EMA26,EMA50,EMA200
2019-11-12,1825,4299,0.09762592592592592,-0.0763414838271605,-0.942286,0.855909,6124,-0.16375348517579655,0.9621395792688154,-0.05370202205060146,-0.059801556477530125,-0.06831157666646837,-0.07312357928594812,295.6807556152344,46484600,293.0113453538831,289.8556608600171,286.7550263980912,276.57178337063925
2019-11-13,1539,3453,0.08736071428571429,-0.05344569289285714,-0.948362,0.935792,4992,-0.26411760518221733,0.9625041295986708,-0.05366258679556388,-0.05933075176755435,-0.06772860083220911,-0.07292777942134025,295.7763977050781,53917700,293.4367380232977,290.29423395965125,287.10880566503187,276.7628740605342
2019-11-14,1694,3504,0.11968690476190476,-0.009982185916666667,-0.936818,0.902842,5198,-0.24585346320225027,0.9598713549893241,-0.04694252512188738,-0.05567530244526637,-0.06546403554140352,-0.07230145510786092,296.20703125,51219900,293.8629369812519,290.73221894412154,287.4655988252267,276.95634826142447
2019-11-15,1692,4619,0.04070983606557377,-0.1393509998852459,-0.921647,0.881613,6311,-0.1471738999803896,0.963947391025468,-0.06115921354701946,-0.06187350225563522,-0.06836156355488754,-0.07296861475738714,298.3504943847656,62023600,294.5533304279463,291.2965356434285,287.8924574746204,277.16922533727865
2019-11-18,1927,5014,0.10676235294117646,-0.004479550164705884,-0.943635,0.887461,6941,-0.09131754343971374,0.9594096532649885,-0.04561604162371501,-0.05375294744153328,-0.06320746785596251,-0.07149267478465046,298.5705261230469,49228000,295.17136053488485,291.8353497530299,288.3112052647548,277.3821736038037
2019-11-19,1370,3091,-0.020010526315789475,-0.09439314115789474,-0.94688,0.939961,4461,-0.31119653426650123,0.9659489827124861,-0.05312021078281959,-0.05676333216126375,-0.06443043543643044,-0.07172054012169768,298.4844665527344,67804700,295.6810691530155,292.32787692337837,288.71015668781286,277.5921466679722
2019-11-20,4564,10932,0.0663,-0.015909597419354837,-0.943099,0.881493,15496,0.6671763140293052,0.9569209648564719,-0.047395501034594244,-0.05373712958778902,-0.0625276574749765,-0.07116520735849029,297.3744201660156,79406200,295.94158469347707,292.7016949413515,289.0499317261738,277.7889852102413
2019-11-21,5831,9283,0.010313793103448278,-0.11583741827586207,-0.948982,0.901312,15114,0.6333078565713082,0.9427553298910138,-0.05792502676402007,-0.05833715097209073,-0.06461823632991319,-0.07160970696960842,296.8959655761719,54664700,296.08841252158396,293.0123816550419,289.3576193281345,277.9791044178626
2019-11-22,2320,6606,-0.028650684931506847,-0.11784339334246574,-0.906447,0.798418,8926,0.08467431010511416,0.9570645934802581,-0.06714323700685787,-0.06274502077730369,-0.06670549738922897,-0.07206974364993535,297.5562438964844,44850200,296.31423273310713,293.34896404329686,289.6791340170894,278.1739018256101
2019-11-25,1821,4659,0.020909210526315784,-0.06949632921052631,-0.944309,0.895935,6480,-0.1321902106861448,0.9613913068093773,-0.061553213606623566,-0.060431244190471155,-0.0649202020787684,-0.07143006091212512,299.86236572265625,48647200,296.86009934688394,293.8314382417679,290.07847643691554,278.389707436526
2019-11-26,4675,15326,0.047834666666666664,-0.06747259144,-0.857538,0.900734,20001,1.0665935937368365,0.9430702464884358,-0.06246388711945071,-0.06095282546821403,-0.06502029577920886,-0.07139068310643233,300.541748046875,37569000,297.42650683919027,294.3284982273314,290.48880081377666,278.6101257510569
2019-11-27,1768,3122,0.044753968253968254,0.049478629206349205,-0.945073,0.903035,4890,-0.27316101528880293,0.95626600462421,-0.04524196153086611,-0.052772717714542686,-0.060530141858206585,-0.07018800338192704,301.8814392089844,44444600,298.11188104992783,294.8879753370835,290.93557094692204,278.84168110884724
2019-11-29,1388,3082,0.09970675675675675,-0.0616065277972973,-0.939709,0.899677,4470,-0.31039858631592016,0.9636344300378962,-0.041651126712989,-0.04969217426890396,-0.05822833087923043,-0.06939460563101242,300.7618408203125,36592700,298.51956716844853,295.3230764839893,291.3209148635256,279.0597921507524
2019-12-02,7921,22760,0.05189428571428571,-0.13018110871428573,-0.944953,0.847769,30681,2.013491828426389,0.9001412258470893,-0.04920179775514667,-0.05125506062716716,-0.05795867065485459,-0.06896015627796566,298.2069091796875,75767800,298.4714659394084,295.5366937207077,291.5909538563163,279.2503107281548
2019-12-03,2485,5402,0.07688441558441558,-0.09271147597402597,-0.942198,0.923309,7887,-0.007444347745302059,0.9594731179719999,-0.05589559440420502,-0.05432590620841596,-0.05932152576541033,-0.06919648781722994,296.20703125,73941700,298.1230913718071,295.5863483525072,291.77197649920583,279.4190343154368
2019-12-04,954,2349,0.05476621621621621,-0.015077520270270268,-0.937488,0.841603,3303,-0.41386583724126735,0.9607260659260444,-0.049615890691291985,-0.05141861836114591,-0.05758646672638523,-0.06865799062770796,298.0346984863281,49080000,298.1094924663488,295.7677076216791,292.0175734398773,279.6042648046994
2019-12-05,1777,3831,-0.0031302631578947384,-0.09465357,-0.936243,0.853702,5608,-0.20950250100911202,0.9637941739063314,-0.056544764431093214,-0.0546212073714314,-0.05904007861946817,-0.0689166531090243,298.5705261230469,40709000,298.18042072122546,295.9753238069656,292.2745519764722,279.79298382279245
2019-12-06,5244,11442,0.0876939393939394,-0.048737498484848485,-0.883793,0.783244,16686,0.772682765272804,0.9508154658174168,-0.055343646593209415,-0.054185377083536365,-0.058636055869090924,-0.06871586550082355,301.2977600097656,48927000,298.66001138100086,296.36957834050634,292.6284032718955,280.00696169529965
2019-12-09,1438,2964,0.03229411764705882,-0.1539842596470588,-0.951379,0.789027,4402,-0.31642752638697724,0.9703174612204739,-0.06390082508721211,-0.05806525713286305,-0.06007539987097447,-0.06875503070009517,300.350341796875,34838500,298.92006221421224,296.66444970764474,292.9312243905222,280.20938338785265
2019-12-10,2886,4616,0.009551315789473686,0.03544493368421052,-0.944692,0.890946,7502,-0.04157878785349286,0.9589845867597739,-0.048616862199300934,-0.05113857633159834,-0.056329504437437804,-0.06771821513408217,300.01544189453125,52649800,299.0885821650305,296.9126713511178,293.2090368416598,280.40645859687436
2019-12-11,1666,4033,0.1353375,0.08033518659090909,-0.875271,0.866898,5699,-0.2014343606199033,0.9556639833942662,-0.02877808546234554,-0.04139977907807926,-0.05097010478926734,-0.0662450469577141,300.86712646484375,53429100,299.3622043650018,297.20559395213456,293.50935408178464,280.61004733187906
2019-12-12,1913,4076,0.14239066666666667,0.11011219453333335,-0.943964,0.886827,5989,-0.17572270443451282,0.9549490115341889,-0.007410350078394939,-0.030176669921678327,-0.04465315187465555,-0.06449024853491761,303.4602355957031,96389600,299.9926707081866,297.66890074054703,293.8995847293893,280.83741238923056
2019-12-13,1011,2256,0.18265396825396826,0.13207014555555555,-0.898939,0.856566,3267,-0.41705762904359167,0.94688220953085,0.014048187711443599,-0.01815838729373508,-0.037722826485235506,-0.06253442371809699,303.6421203613281,81503900,300.55412450097765,298.11136145319745,294.28164495024964,281.06432490636587
2019-12-16,1783,4055,0.03768059701492537,0.009644904626865678,-0.93719,0.883672,5838,-0.18911049782759545,0.9589055264164805,0.02111866053176975,-0.0076058379050782075,-0.029674403154338815,-0.05968796279284185,305.72808837890625,82749700,301.3501189437359,298.6755634476944,294.73052508470676,281.3097354881822
2019-12-17,1954,3488,0.04980615384615385,-0.1267269308,-0.950044,0.76661,5442,-0.2242202076531631,0.9657322344624777,-0.001626815057733287,-0.016429622563961303,-0.03348038463063925,-0.06035501720087328,305.79510498046875,61097700,302.0339629493871,299.20293689456656,295.1644301786582,281.5533710055184
2019-12-18,2516,7558,0.1457837837837838,-0.02161559729729729,-0.906863,0.922204,10074,0.18645700424590128,0.9584074019648443,-0.004702012325358518,-0.01681376884050471,-0.033015098852861136,-0.05996955033616108,305.8143005371094,48133000,302.61555334749823,299.69266753475495,295.58207215349944,281.7947732894148
2019-12-19,1166,3259,0.13625714285714285,-0.008714094675324678,-0.950237,0.924865,4425,-0.31438832606882555,0.9599357994322573,-0.00531925576381485,-0.016213792976417302,-0.03206211829687931,-0.05945954580222241,307.06781005859375,85310500,303.300515918436,300.23897438837264,296.0324932478169,282.0462462920932
2019-12-20,1718,4297,0.021244615384615383,-0.024419396446153846,-0.940138,0.920122,6015,-0.17341752146616746,0.960273343634384,-0.008257738945713158,-0.01682161545565705,-0.03176240371449792,-0.05911088759967447,308.4140319824219,147142100,304.0872106975108,300.8445342101541,296.51804378642885,282.30861231886263
2019-12-23,2874,4630,0.09466363636363637,-0.061350090363636374,-0.940663,0.918514,7504,-0.041401466086697064,0.9598907317381516,-0.01317534850096543,-0.01714782814095119,-0.03014409008237698,-0.057856977887410024,308.8852844238281,52990000,304.825375886175,301.44014533709293,297.0030336153465,282.5730568174195
2019-12-24,888,2264,0.14733478260869565,0.0684690737173913,-0.870574,0.878438,3152,-0.42725363063434996,0.9527129765184479,-0.0006146681596797786,-0.010805835410703598,-0.02627690718826842,-0.05660000224955131,308.89483642578125,20270000,305.4514467384221,301.9923446769958,297.46937882359884,282.8349650722291
2019-12-26,1762,3476,-0.028549999999999992,0.02639113404761905,-0.941064,0.806702,5238,-0.24230702786633435,0.9578736184002111,-0.009807119716468391,-0.014383804910126141,-0.027107729159341815,-0.05623274932731352,310.5391845703125,30911200,306.23417563563595,302.62544392835264,297.98192022543077,283.1106289478319
2019-12-27,1227,3083,0.10805454545454544,-0.09444941418181817,-0.939939,0.792248,4310,-0.3245843276595839,0.9662384036841558,-0.02282901117267605,-0.020314590782103327,-0.029748579552380104,-0.056613014649248894,310.4621887207031,42528800,306.88463918718475,303.20594354260083,298.471342519363,283.3827837714426
2019-12-30,1805,6318,-0.010689090909090907,-0.050582603272727275,-0.92125,0.873092,8123,0.013479620736601913,0.9591633718637161,-0.004571498128567782,-0.0105712021242755,-0.023180135221162648,-0.054069713219908964,308.7505798339844,49729100,307.1717069790001,303.6166573419626,298.8744498650345,283.6351996526619
2019-12-31,2188,3942,-0.002629090909090906,-0.009603834000000004,-0.869163,0.853438,6130,-0.16322151987540917,0.9596711949697142,-0.005345703647249662,-0.010499545226181019,-0.02264773125170529,-0.053627266660506885,309.5006103515625,57077300,307.52999980554813,304.05250571304407,299.29116204097676,283.89256692329775
2020-01-02,8202,28131,-0.0765090909090909,-0.06597212772727273,-0.94192,0.874261,36333,2.5146031413913095,0.9218650215533948,-0.007894386735776924,-0.010683746689486783,-0.021732907144408387,-0.052761504866864116,312.3949890136719,59151200,308.278459683721,304.6704674390165,299.80503760853344,284.17617311325176
2020-01-03,2482,7382,-0.1999369230769231,-0.22046294573846154,-0.934191,0.876053,9864,0.16783821873234264,0.950963681550955,-0.04059724196695918,-0.02622294661904047,-0.029526241991234003,-0.05443017592031285,310.029541015625,77709700,308.54785681170625,305.0674358520986,300.2059985264586,284.43342055506645
2020-01-06,1587,3962,-0.05318815789473683,-0.07908292555263158,-0.934577,0.853972,5549,-0.214733493129588,0.9631511156045068,-0.04538775446445989,-0.03146434906719746,-0.03197826203103474,-0.05432461810355206,311.2122802734375,55653900,308.95776811351107,305.52260951293846,300.637617418497,284.69987687067214
2020-01-07,2110,4699,-0.05931444444444445,-0.11959316477777777,-0.931155,0.89665,6809,-0.10302078004823631,0.9620988062286198,-0.056803971435739564,-0.03799240949020341,-0.0354141405701227,-0.054974056378917495,310.3372497558594,40496400,309.1699960584877,305.8792495309326,301.01799515721706,284.9549751083357
2020-01-08,1737,4075,-0.020580821917808214,-0.11823246095890412,-0.940302,0.898725,5812,-0.1914156807959408,0.964426617068564,-0.06625450828545719,-0.043936117006403465,-0.03866191784027099,-0.055603493240409904,311.9912109375,68296000,309.6040291167973,306.33198741290056,301.44831734467914,285.2239923802677
2020-01-09,3020,4765,-0.07203125,-0.080882884,-0.917933,0.863438,7785,-0.016487757851887674,0.9596183726160733,-0.06850502762615608,-0.04667291456148469,-0.04031764200339762,-0.05585502946687349,314.106689453125,48473300,310.2967460916169,306.907891267732,301.94472409402994,285.5113824008932
2020-01-10,2348,5334,-0.0036437499999999955,-0.24193496625000002,-0.947998,0.844791,7682,-0.025619828841871188,0.9607166430980996,-0.095186556645209,-0.06113677024211545,-0.048224203738558506,-0.05770657112640709,313.20281982421875,53029300,310.743834358171,307.3741822719162,302.3862180442334,285.78691909167253
2020-01-13,3331,6762,-0.01763012048192771,0.054488827108433745,-0.899639,0.886611,10093,0.18814156103046134,0.9616317145417578,-0.05045302948586204,-0.045484622159368285,-0.041265934611305094,-0.05564386160183851,315.3567810058594,47086800,311.4535184578154,307.9654858818379,302.8948675721403,286.08114657340576
2020-01-14,2312,4502,-0.0181679012345679,0.013734326666666664,-0.950123,0.92836,6814,-0.1025774756312468,0.9589992442321752,-0.04057805161624224,-0.04109803335743977,-0.03910906162001209,-0.054953531370311094,314.8759765625,62832800,311.9800504739207,308.4773740804054,303.364714983527,286.36766229469026
2020-01-15,2350,6003,0.006788372093023256,0.015191512651162791,-0.93026,0.90082,8353,0.033871623918118494,0.9594334709477028,-0.031998118652026085,-0.03692843735680254,-0.036979627334867975,-0.05425557073328151,315.5875549316406,72056600,312.53505115972376,309.0040541434599,303.84404204031574,286.658407495058
2020-01-16,1494,3754,0.05506219512195122,-0.034939103902439025,-0.845151,0.926871,5248,-0.24142041903235537,0.9612215976860807,-0.03245057792132038,-0.03678107932314598,-0.036899606808106056,-0.054063367083223374,318.2127685546875,54050300,313.4085461435643,309.6861811368841,304.4075215114676,286.97238123694484
2020-01-17,1731,5009,0.13302786885245904,-0.05427155065573771,-0.88609,0.874721,6740,-0.10913838100269128,0.9606545085047654,-0.03580765064969228,-0.038076669792226854,-0.03758085950801318,-0.05406543856155685,319.20318603515625,95846000,314.30002920380923,310.391144462682,304.98774364965146,287.29308576230017
2020-01-21,3220,5831,0.05276195652173913,-0.12121729885869564,-0.934855,0.871067,9051,0.09575692052985142,0.9566968096142703,-0.042196581722415444,-0.03971583912251206,-0.03829609599322234,-0.05355127388301836,318.5780944824219,77742400,314.95819309282655,310.99758520488496,305.5206985842699,287.60437938140586
2020-01-22,4448,10828,0.005005263157894742,-0.02464685810526315,-0.911146,0.897455,15276,0.6476709196817676,0.9557134732295985,-0.03949662424285355,-0.038599618306419545,-0.037760831762321985,-0.05326366775587652,318.6165771484375,48914900,315.52102140907436,311.5619549784814,306.0342624495314,287.9129584636649
2020-01-23,2148,6401,-0.04478494623655914,-0.017304140537634412,-0.932432,0.911772,8549,0.051249157064106536,0.95911709356045,-0.03608239598051215,-0.037022175508731756,-0.03695860857704012,-0.05290586151489899,318.9820251464844,51963000,316.0534835225221,312.11158980574095,306.54201784941193,288.2221034057825
2020-01-24,1289,2769,0.019847457627118644,-0.021884626610169485,-0.908273,0.905681,4058,-0.3469268702758542,0.9610313608668388,-0.033898123769690196,-0.035900875590319736,-0.036367472029319704,-0.05259719251087183,316.1452941894531,87578400,316.06760824051145,312.410382723053,306.91861692157045,288.4999461001474
2020-01-27,1808,4094,-0.04925797101449275,-0.21771932115942028,-0.918936,0.903715,5902,-0.18343620129012997,0.9683336448258052,-0.06322122477610824,-0.04932467088602062,-0.043338888539814914,-0.05386725248319445,311.07763671875,84062500,315.2999203140866,312.3116607968083,307.08171573714617,288.72459973814347
2020-01-28,1982,4169,0.1094948051948052,0.02523941372727273,-0.929546,0.932283,6151,-0.1613596413240533,0.95839786510399,-0.04961189577558809,-0.04380140535911001,-0.0406495433528703,-0.053080121476125126,314.3374938964844,63834000,315.1518547113786,312.46172250789544,307.3662560571202,288.9794544063857
2020-01-29,5328,14652,-0.017390425531914895,-0.0010573486170212738,-0.921617,0.876241,19980,1.0647317151854807,0.959063143528987,-0.042141965443500885,-0.0406351789337701,-0.039096908265189946,-0.052562481945188776,314.077880859375,53888900,314.98662796491647,312.5814379413384,307.6294570297577,289.22918999298264
2020-01-30,3257,5938,0.058862500000000005,-0.023966284125,-0.941519,0.937236,9195,0.10852408773914876,0.9587301179395282,-0.039345706779116134,-0.03940044598497231,-0.03850355045577073,-0.05227794266339586,315.0971374511719,75491800,315.0036294243404,312.7677860531779,307.9223072423622,289.48658250500444
2020-01-31,4343,9863,0.04640428571428571,-0.11746786685714287,-0.94689,0.915802,14206,0.5528037744460166,0.9446571531032274,-0.0513645006372741,-0.04518321790142939,-0.04160019031464807,-0.0529265986255227,309.37567138671875,113845600,314.13778972624476,312.51651830010684,307.9793019146899,289.68448388691206
2020-02-03,1844,3526,-0.0732890410958904,-0.13094320753424657,-0.953027,0.918275,5370,-0.2306037912578118,0.9661343732673391,-0.06297758038128967,-0.05209987813064812,-0.04570558648196366,-0.0536451663487273,311.6737976074219,69083000,313.7587140156566,312.45409454509314,308.1241840987186,289.9032830284097
2020-02-04,3655,8089,-0.006982978723404255,-0.1790482415638298,-0.945457,0.869151,11744,0.3345206795203912,0.9457952897002805,-0.08083460517860354,-0.061503460607180094,-0.0509347102106643,-0.0548929581419124,316.42413330078125,62573200,314.1687785210604,312.7481714899589,308.44967230272107,290.16717208584623
2020-02-05,2378,5089,-0.010803797468354432,-0.11083211620253165,-0.949493,0.838928,7467,-0.044681918772419296,0.9604353134802185,-0.08544960687459249,-0.06515743509572465,-0.053283628092698314,-0.05544956667982901,320.0782470703125,65951100,315.07792752863764,313.2911400514666,308.9056948426266,290.46479472250763
2020-02-06,1232,2881,0.06863098591549295,-0.005891055633802815,-0.927803,0.902746,4113,-0.3420505216889698,0.959772219781897,-0.07320982976062484,-0.06076733291336007,-0.0514250958394083,-0.05495644716693323,321.1552429199219,50359700,316.01289912729675,313.8736661898707,309.38606927703034,290.7701723165118
